RIPARTIZIONE;COD_NUTS2_2010;COD_NUTS3_2010;COD_REG;COD_PRO;COD_ISTAT;PRO_COM;PRO_COM_103;PRO_COM_107;CODICE_CATASTALE;NOME;COD_SLL_2011;NOME_SLL_2011;CAPOL_SLL_2011;SUPERFICIE (in KMQ);POP_2001;POP_2011;SEZ2011;INDIRIZZO;X_ED50_32N;Y_ED50_32N;X_WGS84_32N;Y_WGS84_32N;ALTITUDINE_MINIMA;ALTITUDINE_MASSIMA
Nord-ovest;ITC1;ITC11;1;1;1001001;1001;1001;1001;A074;Agliè;104;RIVAROLO CANAVESE;0;13,1464;2574;2644;10010000001;Via Principe Tommaso,21;403644,8723;5024260,2998;403562,438893281;5024061,97160736;279;521
Nord-ovest;ITC1;ITC11;1;1;1001002;1002;1002;1002;A109;Airasca;103;PINEROLO;0;15,7395;3554;3819;10020000002;Via Roma,118;380459,5991;4975032,7449;380377,353416463;4974834,78085748;248;273
Nord-ovest;ITC1;ITC11;1;1;1001003;1003;1003;1003;A117;Ala di Stura;106;TORINO;0;46,3322;479;462;10030000001;Piazza Centrale,22;367173,272;5019552,9187;367091,111478418;5019354,61495373;837;2920
Nord-ovest;ITC1;ITC11;1;1;1001004;1004;1004;1004;A157;Albiano d'Ivrea;102;IVREA;0;11,7316;1696;1791;10040000002;Corso Vittorio Emanuele,54;417886,6379;5031887,7232;417804,097034412;5031689,34144282;221;278
Nord-ovest;ITC1;ITC11;1;1;1001005;1005;1005;1005;A199;Alice Superiore;102;IVREA;0;7,3797;616;701;10050000001;Piazza Adriano Olivetti,1;404467,4487;5034988,8388;404385,006633539;5034790,43086781;345;1836
Nord-ovest;ITC1;ITC11;1;1;1001006;1006;1006;1006;A218;Almese;106;TORINO;0;17,8759;5658;6303;10060000003;Piazza Martiri della Libertà,48;373857,1796;4997472,2725;373774,97652634;4997274,13668041;329;1314
Nord-ovest;ITC1;ITC11;1;1;1001007;1007;1007;1007;A221;Alpette;104;RIVAROLO CANAVESE;0;5,6262;300;277;10070000001;Via Senta,22;388856,0083;5029676,8673;388773,683427692;5029478,4948437;468;1650
Nord-ovest;ITC1;ITC11;1;1;1001008;1008;1008;1008;A222;Alpignano;106;TORINO;0;11,9195;16648;16893;10080000002;Viale della Vittoria,14;383963,2808;4994702,2592;383881,002694302;4994504,14739129;299;377
Nord-ovest;ITC1;ITC11;1;1;1001009;1009;1009;1009;A275;Andezeno;101;CHIERI;0;7,4861;1705;1966;10090000003;Piazza Italia,3;411072,7209;4987753,2715;410990,240592396;4987555,21931407;266;377
Nord-ovest;ITC1;ITC11;1;1;1001010;1010;1010;1010;A282;Andrate;102;IVREA;0;9,3087;476;512;10100000001;Via della Parrocchia,18;412143,4733;5042464,0826;412060,972565763;5042265,62095223;587;2206
Nord-ovest;ITC1;ITC11;1;1;1001011;1011;1011;1011;A295;Angrogna;103;PINEROLO;0;38,8788;777;870;10110000001;Piazza Roma,1;359748,4033;4967291,5414;359666,317056179;4967093,629209;524;2765
Nord-ovest;ITC1;ITC11;1;1;1001012;1012;1012;1012;A405;Arignano;101;CHIERI;0;8,167;898;1039;10120000001;Via Gino Lisa,20;413644,7597;4988625,4377;413562,259908328;4988427,37952487;267;350
Nord-ovest;ITC1;ITC11;1;1;1001013;1013;1013;1013;A518;Avigliana;106;TORINO;0;23,2175;11070;12129;10130000001;Piazza Conte Rosso,7;373862,5706;4993215,1015;373780,368762809;4993016,997806;324;977
Nord-ovest;ITC1;ITC11;1;1;1001014;1014;1014;1014;A525;Azeglio;102;IVREA;0;9,9607;1274;1347;10140000001;Piazza Massimo d'Azeglio,2;421442,8799;5030838,7343;421360,312752405;5030640,36113972;222;328
Nord-ovest;ITC1;ITC11;1;1;1001015;1015;1015;1015;A584;Bairo;104;RIVAROLO CANAVESE;0;7,086;788;816;10150000001;Piazza Comunale,2;402769,1407;5026809,1358;402686,713241029;5026610,78843026;300;423
Nord-ovest;ITC1;ITC11;1;1;1001016;1016;1016;1016;A587;Balangero;106;TORINO;0;13,0065;3048;3161;10160000005;Viale Giuseppe Copperi,16;383930,7877;5014212,6505;383848,503955547;5014014,39208669;386;866
Nord-ovest;ITC1;ITC11;1;1;1001017;1017;1017;1017;A590;Baldissero Canavese;104;RIVAROLO CANAVESE;0;4,5065;513;534;10170000001;Via Monte Grappa,23;401831,0632;5029285,5394;401748,642071178;5029087,17333994;324;568
Nord-ovest;ITC1;ITC11;1;1;1001018;1018;1018;1018;A591;Baldissero Torinese;101;CHIERI;0;15,4057;3244;3783;10180000001;Piazza Umberto I,7;407018,5806;4991429,2453;406936,129955785;4991231,1644439;311;667
Nord-ovest;ITC1;ITC11;1;1;1001019;1019;1019;1019;A599;Balme;106;TORINO;0;62,7114;101;95;10190000001;Via Capoluogo,139;360398,5712;5018274,6663;360316,461622408;5018076,36983778;1294;3654
Nord-ovest;ITC1;ITC11;1;1;1001020;1020;1020;1020;A607;Banchette;102;IVREA;0;2,0289;3427;3280;10200000002;Via Roma,59;410687,6758;5034981,3306;410605,187616029;5034782,92419789;230;282
Nord-ovest;ITC1;ITC11;1;1;1001021;1021;1021;1021;A625;Barbania;104;RIVAROLO CANAVESE;0;12,8029;1479;1623;10210000002;Via Andreis,4;392692,5655;5016332,5782;392610,215754871;5016134,3063956;271;442
Nord-ovest;ITC1;ITC11;1;1;1001022;1022;1022;1022;A651;Bardonecchia;105;SUSA;0;132,2049;3038;3212;10220000016;Piazza Alcide De Gasperi,1;319354,3019;4994397,079;319272,509218866;4994198,94475983;1176;3490
Nord-ovest;ITC1;ITC11;1;1;1001023;1023;1023;1023;A673;Barone Canavese;102;IVREA;0;3,9864;588;599;10230000001;Piazza Comunale,1;411574,028;5020176,3147;411491,536585135;5019978,01885992;271;406
Nord-ovest;ITC1;ITC11;1;1;1001024;1024;1024;1024;A734;Beinasco;106;TORINO;0;6,7344;18198;18104;10240000001;Piazza Vittorio Alfieri,12;388141,2343;4986583,0784;388058,927098001;4986385,02910348;240;267
Nord-ovest;ITC1;ITC11;1;1;1001025;1025;1025;1025;A853;Bibiana;103;PINEROLO;0;18,5982;2856;3376;10250000002;Via Camillo Benso Conte di Cavour,2;364817,1674;4962085,0264;364735,044579304;4961887,15571889;323;1230
Nord-ovest;ITC1;ITC11;1;1;1001026;1026;1026;1026;A910;Bobbio Pellice;103;PINEROLO;0;94,0834;598;566;10260000002;Piazza Caduti Per La Libertà,7;351248,5516;4963510,2637;351166,531342475;4963312,37710146;694;3100
Nord-ovest;ITC1;ITC11;1;1;1001027;1027;1027;1027;A941;Bollengo;102;IVREA;0;14,2236;1997;2112;10270000001;Piazza Statuto,1;417647,2352;5036275,9138;417564,695146981;5036077,49932821;230;675
Nord-ovest;ITC1;ITC11;1;1;1001028;1028;1028;1028;A990;Borgaro Torinese;106;TORINO;0;11,18;12757;11723;10280000005;Piazza Vittorio Veneto,12;394583,9651;5000908,2007;394501,605493471;5000710,04521303;223;270
Nord-ovest;ITC1;ITC11;1;1;1001029;1029;1029;1029;B003;Borgiallo;104;RIVAROLO CANAVESE;0;6,9649;496;550;10290000001;Via G. Cigliana,1;395843,6317;5030316,3694;395761,254671876;5030117,99414668;396;2226
Nord-ovest;ITC1;ITC11;1;1;1001030;1030;1030;1030;B015;Borgofranco d'Ivrea;102;IVREA;0;13,4191;3631;3643;10300000003;Via Mombarone,3;410923,1064;5040773,6304;410840,615143326;5040575,18102315;239;849
Nord-ovest;ITC1;ITC11;1;1;1001031;1031;1031;1031;B021;Borgomasino;102;IVREA;0;12,3713;784;835;10310000002;Via Torino,4;420887,3703;5023811,0635;420804,808664367;5023612,74262693;214;450
Nord-ovest;ITC1;ITC11;1;1;1001032;1032;1032;1032;B024;Borgone Susa;106;TORINO;0;4,9617;2227;2320;10320000002;Piazza Montabone,1;361760,1709;4998332,5703;361678,058251099;4998134,42393436;357;643
Nord-ovest;ITC1;ITC11;1;1;1001033;1033;1033;1033;B075;Bosconero;104;RIVAROLO CANAVESE;0;10,9192;2927;3056;10330000002;Piazza Martiri;403206,866;5013725,1384;403124,438519347;5013526,88885435;215;261
Nord-ovest;ITC1;ITC11;1;1;1001034;1034;1034;1034;B121;Brandizzo;106;TORINO;0;6,2915;7430;8402;10340000002;Via Torino,121;409055,6612;5003536,6168;408973,192390658;5003338,4452034;182;196
