codreg;regione;codpro;provincia;codcom;comune;procom;loc2011;codloc;localita;tipoloc;amploc;capoluogo;altitudine;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;p45;p46;p47;p48;p49;p50;p51;p52;p53;p54;p55;p56;p57;p58;p59;p60;p61;p62;p64;p65;p66;p128;p129;p130;p131;p132;p135;p136;p137;p138;p139;p140;st1;st2;st3;st4;st5;st6;st7;st8;st9;st10;st11;st12;st13;st14;st15;a2;a3;a5;a6;a7;a44;a46;a47;a48;pf1;pf2;pf3;pf4;pf5;pf6;pf7;pf8;pf9;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;e20;e21;e22;e23;e24;e25;e26;e27;e28;e29;e30;e31;pro_com;ripartizione;cod_nuts3_2010;cod_reg;cod_pro;cod_istat;pro_com_103;pro_com_107;codice_catastale;cod_sll_2011;nome_sll_2011;capol_sll_2011;superficie_kmq;pop_2001;pop_2011;sez2011;indirizzo;x_ed50_32n;y_ed50_32n;x_wgs84_32n;y_wgs84_32n;altitudine_minima;altitudine_massima
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100110001;10001;Aldino;1;11;1;1225;610;290;320;327;243;4;30;6;161;122;2;2;3;30;50;46;42;32;41;37;48;57;47;43;31;32;27;15;32;10;30;20;23;17;19;15;26;28;23;21;16;17;9;9;7;568;26;227;140;132;42;1;275;9;116;71;52;27;0;324;321;3;180;179;1;160;50;37;32;12;2;2;170;232;89;35;13;3;5;6;2;1;2;0;12;0;0;1;0;0;13;212;8;1;8;0;20587;37;166;10;213;610;65;37;26;49;23;13;82;93;93;86;7;30;11;45;17;5;2;13;23;10;9;2;5;6;45;29;6;30;8;38;9;1;0;230;32;44;9;1;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100110002;10002;Olmi;1;13;0;707;32;16;16;11;18;0;3;0;7;9;0;0;0;1;2;4;0;2;0;0;5;4;0;4;0;1;5;2;2;1;0;4;0;1;0;0;2;2;0;2;0;0;3;0;1;31;1;8;8;10;4;0;15;0;3;5;5;2;0;13;13;0;7;7;0;12;4;3;0;0;0;0;7;13;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;1;0;1174;2;13;0;15;32;6;5;1;2;1;0;0;16;16;15;1;7;2;6;1;1;2;3;3;1;2;1;1;0;7;6;2;12;2;1;0;0;0;19;7;6;2;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100110003;10003;Redagno di Sopra;1;13;0;1566;60;31;29;27;28;0;3;2;15;14;0;1;1;5;3;2;1;3;7;5;2;2;1;6;6;4;5;5;3;2;1;1;1;3;3;3;1;1;0;1;4;3;3;3;1;55;6;26;10;10;3;0;29;3;16;4;5;1;0;29;29;0;16;16;0;21;11;2;3;3;0;0;12;16;16;8;3;2;3;0;0;2;0;0;3;0;0;0;0;0;3;24;2;0;2;0;2589;3;20;1;24;60;5;10;2;6;1;0;0;22;22;22;0;5;2;15;2;0;2;3;5;4;2;2;2;3;13;5;1;14;5;2;1;0;0;36;6;14;2;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100110004;10004;Redagno di Sotto;1;13;0;1202;53;25;28;25;24;0;3;1;11;13;0;0;1;0;1;4;8;3;6;1;2;3;8;6;0;3;2;1;5;0;0;2;3;0;4;0;2;0;5;4;0;2;1;0;2;53;0;28;15;9;1;0;25;0;16;6;3;0;0;37;36;1;21;21;0;11;2;1;3;0;0;0;11;22;7;2;7;3;4;2;1;2;0;1;6;0;0;1;0;0;7;24;0;0;0;0;1844;3;19;2;24;53;13;3;1;5;1;1;6;24;24;24;0;7;8;9;8;0;0;3;3;2;3;2;3;2;12;9;1;17;5;2;0;0;0;34;13;11;0;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100120005;20005;Mitterstrich;2;13;0;1238;69;33;36;37;24;1;7;0;20;12;1;0;0;3;3;5;6;4;1;5;9;8;4;3;1;0;3;6;8;1;0;4;2;2;1;3;5;4;2;2;0;0;2;1;4;66;2;26;16;17;5;0;32;0;14;9;7;2;0;33;33;0;22;22;0;25;6;3;5;0;2;0;12;24;15;6;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;26;3;0;3;0;2606;4;20;2;26;69;7;5;8;2;4;0;0;22;22;21;1;6;6;9;4;1;2;4;1;2;3;3;1;4;9;8;0;16;2;2;1;0;0;32;9;9;3;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100120006;20006;Neuradein;2;13;0;1050;68;35;33;28;38;0;2;0;16;19;0;0;0;4;1;4;6;7;2;1;8;5;11;1;3;3;4;3;5;3;0;2;2;5;1;0;3;3;6;1;2;1;0;3;3;63;1;24;19;18;1;0;32;0;14;10;8;0;0;35;34;0;22;22;0;24;8;4;4;1;0;0;17;19;16;7;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;23;1;0;1;0;2280;1;20;2;23;68;4;5;4;8;2;0;0;24;24;24;0;8;4;12;6;0;1;1;2;2;7;2;3;2;10;11;1;15;7;1;1;0;0;37;11;11;2;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100120007;20007;Wildeich;2;13;0;1200;130;64;66;67;49;4;7;3;33;25;3;2;1;8;6;7;10;11;8;10;9;6;14;11;9;6;2;4;9;3;3;3;5;6;4;4;5;3;4;6;8;3;2;2;3;121;7;54;29;24;7;0;61;2;27;17;11;4;0;77;77;0;41;41;0;32;14;3;9;4;0;0;38;45;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;9;0;9;0;4789;10;39;1;50;130;16;12;6;8;8;0;0;41;41;33;8;14;4;15;11;2;2;2;3;3;4;4;2;5;16;9;3;19;8;2;3;1;0;69;9;24;0;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100126601;26601;Burg;2;13;0;1249;20;9;11;10;10;0;0;0;4;5;0;0;0;0;2;1;1;2;1;0;0;2;1;1;2;2;2;2;1;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;19;0;9;2;7;1;0;9;0;4;1;3;1;0;9;9;0;4;4;0;8;3;1;1;0;0;0;1;6;6;3;2;1;1;1;0;1;0;0;2;0;0;0;0;0;2;7;1;0;1;0;787;0;6;1;7;20;1;2;2;1;1;0;0;8;8;8;0;4;0;4;0;2;1;3;0;1;0;0;1;2;1;3;2;3;2;3;0;0;0;16;2;5;1;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100126602;26602;Burgstall;2;13;0;1076;30;14;16;14;14;0;2;0;7;7;0;0;0;0;1;0;3;4;2;1;1;2;4;2;0;1;3;2;4;0;0;0;2;2;2;0;1;0;2;1;0;0;1;0;3;30;1;12;8;8;1;0;14;1;7;2;4;0;0;14;14;0;9;9;0;15;5;3;3;1;1;1;6;10;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;2;0;965;0;10;0;10;30;1;3;3;2;0;1;6;12;12;12;0;3;5;4;2;0;1;2;1;1;1;2;2;1;7;4;0;9;3;0;0;0;0;15;6;5;0;1;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
4;Trentino-Alto Adige/Sudtirol;21;Bolzano/Bozen;1;Aldino/Aldein;21001;2100126603;26603;Stadt;2;13;0;1551;43;23;20;20;21;0;2;0;12;11;0;0;0;1;3;5;1;1;3;5;0;3;1;4;5;4;3;0;4;1;3;3;0;1;1;3;0;1;1;1;2;3;2;0;1;42;0;13;6;19;4;0;22;0;6;2;10;4;0;22;20;2;11;11;0;12;5;2;0;0;1;1;16;6;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;2;0;1485;0;11;0;11;43;2;1;2;3;1;2;16;13;13;13;0;6;1;6;3;0;0;3;1;2;2;0;2;2;8;1;2;9;3;1;0;0;0;19;5;7;1;0;21001;Nord-est;ITH10;4;21;4021001;21001;21001;A179;406;EGNA/NEUMARKT;0;62.6908;1656;1651;210010000002;Paese,11;681148.341973876;5137810.00049226;681063896;5137610812;500;2439
